,,\I-0300A.UNIT1@NET1\,\I-5005A.UNIT1@NET1\,\FI-405/415.UNIT1@NET1\
Date,,VALUE(\I-0300A.UNIT1@NET1\),VALUE(\I-5005A.UNIT1@NET1\),VALUE(\FI-405/415.UNIT1@NET1\)
9/4/2024,2024-09-04T15:00:00,183.6214142,74.27600098,62.12200546
9/4/2024,2024-09-04T16:00:00,183.510437,72.05874634,55.28977203
9/4/2024,2024-09-04T17:00:00,183.6620789,75.51828003,63.82035446
9/4/2024,2024-09-04T18:00:00,183.7367249,76.76190186,58.625
9/4/2024,2024-09-04T19:00:00,183.7155762,76.14294434,65.19952393
9/4/2024,2024-09-04T20:00:00,183.7329254,76.61938477,59.10335922
9/4/2024,2024-09-04T21:00:00,183.9314423,80.73895264,68
9/4/2024,2024-09-04T22:00:00,183.4659119,69.58178711,62.37840652
9/4/2024,2024-09-04T23:00:00,184.1884003,82.47431183,65.24501038
9/5/2024,2024-09-05T00:00:00,183.7259369,74.83580017,63.39909744
9/5/2024,2024-09-05T01:00:00,184.241745,82.70191956,66.10457611
9/5/2024,2024-09-05T02:00:00,183.7438965,74.97829437,64.78330231
9/5/2024,2024-09-05T03:00:00,183.8385468,79.47346497,63.49010468
9/5/2024,2024-09-05T04:00:00,183.6171875,73.34605408,64.00878906
9/5/2024,2024-09-05T05:00:00,183.650238,73.72533417,58.13597107
9/5/2024,2024-09-05T06:00:00,183.1902618,60.40604019,58.88160706
9/5/2024,2024-09-05T07:00:00,183.3701019,67.44586945,51.41596222
9/5/2024,2024-09-05T08:00:00,183.0565338,57.10525894,54.91501617
9/5/2024,2024-09-05T09:00:00,183.2157745,63.08031082,48.41752625
9/5/2024,2024-09-05T10:00:00,183.2316132,63.37749481,53.125
9/5/2024,2024-09-05T11:00:00,183.4335785,69.43669128,46.75654602
9/5/2024,2024-09-05T12:00:00,183.3439331,67.21347809,57.34079361
9/5/2024,2024-09-05T13:00:00,183.7915955,78.87326813,53.90425873
9/5/2024,2024-09-05T14:00:00,183.8123779,78.96176147,63.38362122
9/5/2024,2024-09-05T15:00:00,183.5295105,70.10762024,60.39651489
9/5/2024,2024-09-05T16:00:00,184.3263855,83.03746796,64.95562744
9/5/2024,2024-09-05T17:00:00,183.8106995,76.98098755,65.64857483
9/5/2024,2024-09-05T18:00:00,184.0171204,82.53479767,63.5
9/5/2024,2024-09-05T19:00:00,183.7894897,76.16543579,63.75907516
9/5/2024,2024-09-05T20:00:00,184.3403473,82.51111603,64
9/5/2024,2024-09-05T21:00:00,183.7812042,77.60991669,65.49289703
9/5/2024,2024-09-05T22:00:00,184.9528809,82.21853638,64.79302979
9/5/2024,2024-09-05T23:00:00,184.594574,81.97278595,66.42427063
9/6/2024,2024-09-06T00:00:00,182.9486694,89.93527985,74.25
9/6/2024,2024-09-06T01:00:00,182.8654633,76.74388885,67.11297607
9/6/2024,2024-09-06T02:00:00,182.9891968,92.80352783,69.94136047
9/6/2024,2024-09-06T03:00:00,182.8377991,75.99311066,68.5357132
9/6/2024,2024-09-06T04:00:00,182.9432831,85.26824951,64.58110809
9/6/2024,2024-09-06T05:00:00,182.7684021,67.04983521,61.05502319
9/6/2024,2024-09-06T06:00:00,183.4362946,69.23706055,49.53183365
9/6/2024,2024-09-06T07:00:00,183.152298,60.75094986,52.95114899
9/6/2024,2024-09-06T08:00:00,183.4520569,70.17628479,46.46620178
9/6/2024,2024-09-06T09:00:00,183.3892822,67.58331299,54.6071434
9/6/2024,2024-09-06T10:00:00,183.5161743,71.40544128,50.50883865
9/6/2024,2024-09-06T11:00:00,184.2021484,91.39457703,58.0193634
9/6/2024,2024-09-06T12:00:00,182.9126587,77.77435303,72.74130249
9/6/2024,2024-09-06T13:00:00,183.0372467,91.89070129,69.08486938
9/6/2024,2024-09-06T14:00:00,182.9464874,81.79201508,70.36026764
9/6/2024,2024-09-06T15:00:00,183.1002197,99.49801636,70.14286041
9/6/2024,2024-09-06T16:00:00,182.9192963,85.24211121,75.44520569
9/6/2024,2024-09-06T17:00:00,182.9239502,85.45751953,65.51210022
9/6/2024,2024-09-06T18:00:00,182.978302,90.63468933,70.6390152
9/6/2024,2024-09-06T19:00:00,182.8608246,78.83674622,63.59401703
9/6/2024,2024-09-06T20:00:00,182.9287262,87.68405151,70.8960495
9/6/2024,2024-09-06T21:00:00,182.9168854,85.35766602,62.43072128
9/6/2024,2024-09-06T22:00:00,182.9382782,85.05058289,69.74526978
9/6/2024,2024-09-06T23:00:00,182.8600311,78.43635559,62.07886887
9/7/2024,2024-09-07T00:00:00,182.9420013,85.94898224,68.70731354
9/7/2024,2024-09-07T01:00:00,182.8147278,75.08006287,60.44882965
9/7/2024,2024-09-07T02:00:00,182.910202,82.37968445,64.79066467
9/7/2024,2024-09-07T03:00:00,182.8013153,74.52093506,58.27189255
9/7/2024,2024-09-07T04:00:00,182.8927612,80.83719635,64.51676941
9/7/2024,2024-09-07T05:00:00,182.7226257,69.58257294,57.68299484
9/7/2024,2024-09-07T06:00:00,182.8815002,81.14781952,59.3422966
9/7/2024,2024-09-07T07:00:00,182.6561432,63.21479797,52.70876312
9/7/2024,2024-09-07T08:00:00,184.9834595,23.34003448,48.32147598
9/7/2024,2024-09-07T09:00:00,187.125,29.25405884,17.23926353
9/7/2024,2024-09-07T10:00:00,187.125,32.3537674,14.91533947
9/7/2024,2024-09-07T11:00:00,187.125,103.4306259,69.62398529
9/7/2024,2024-09-07T12:00:00,187.125,96.8655777,76.44621277
9/7/2024,2024-09-07T13:00:00,187.1242065,89.1584549,75.39974976
9/7/2024,2024-09-07T14:00:00,185.6772766,85.74700165,71.32142639
9/7/2024,2024-09-07T15:00:00,182.9241333,79.9980011,68.9471283
9/7/2024,2024-09-07T16:00:00,182.9661865,89.48960114,64.40174866
9/7/2024,2024-09-07T17:00:00,182.8495483,77.16442871,64.61607361
9/7/2024,2024-09-07T18:00:00,182.9807129,93.00673676,60.375
9/7/2024,2024-09-07T19:00:00,182.9023438,83.7192688,66.92921448
9/7/2024,2024-09-07T20:00:00,183.0130615,93.44780731,63.09579468
9/7/2024,2024-09-07T21:00:00,182.8635864,80.79037476,67.71503448
9/7/2024,2024-09-07T22:00:00,182.9761353,91.66046906,65.2942276
9/7/2024,2024-09-07T23:00:00,182.9101563,84.12854767,71.72772217
9/8/2024,2024-09-08T00:00:00,182.9828186,90.56044006,63.89583206
9/8/2024,2024-09-08T01:00:00,182.9127808,85.62643433,70.43201447
9/8/2024,2024-09-08T02:00:00,182.8521881,76.83456421,63.32216644
9/8/2024,2024-09-08T03:00:00,182.8501129,79.84626007,66.18871307
9/8/2024,2024-09-08T04:00:00,183.2933807,64.08150482,56.54088974
9/8/2024,2024-09-08T05:00:00,183.7105865,75.20111847,58.41824722
9/8/2024,2024-09-08T06:00:00,183.3004303,64.34606171,50.08055496
9/8/2024,2024-09-08T07:00:00,183.6687775,74.37747192,51.17272186
9/8/2024,2024-09-08T08:00:00,183.2596283,63.55142212,47.97418213
9/8/2024,2024-09-08T09:00:00,183.6627808,75.49526215,45.98417664
9/8/2024,2024-09-08T10:00:00,183.2742004,63.81026459,48.66287994
9/8/2024,2024-09-08T11:00:00,183.7082062,76.11617279,49.40942383
9/8/2024,2024-09-08T12:00:00,183.3572083,66.68665314,52.25369644
9/8/2024,2024-09-08T13:00:00,183.9234924,80.4138031,53.14021683
9/8/2024,2024-09-08T14:00:00,183.710495,75.52063751,59.75735474
9/8/2024,2024-09-08T15:00:00,184.0362244,81.91667175,57.21966553
9/8/2024,2024-09-08T16:00:00,184.1203308,81.46757507,61.97891617
9/8/2024,2024-09-08T17:00:00,184.0581512,81.02462769,63.72169876
9/8/2024,2024-09-08T18:00:00,184.4911194,81.89324188,62.73601532
9/8/2024,2024-09-08T19:00:00,184.1380768,80.68261719,62.79431915
9/8/2024,2024-09-08T20:00:00,184.8467102,82.71521759,62.15641022
9/8/2024,2024-09-08T21:00:00,184.3814545,81.68415833,61.79971695
9/8/2024,2024-09-08T22:00:00,182.8631134,80.04092407,73.21263123
9/8/2024,2024-09-08T23:00:00,182.9487457,88.56813812,63.0735817
9/9/2024,2024-09-09T00:00:00,182.8682251,82.22776794,69.11058807
9/9/2024,2024-09-09T01:00:00,182.8547974,76.68556213,63.01777267
9/9/2024,2024-09-09T02:00:00,182.8703156,85.739151,68.639534
9/9/2024,2024-09-09T03:00:00,182.8390656,77.11725616,62.31932831
9/9/2024,2024-09-09T04:00:00,182.8429718,82.34775543,66.79888153
9/9/2024,2024-09-09T05:00:00,182.7999268,70.90600586,59.97829819
9/9/2024,2024-09-09T06:00:00,182.8615875,79.59310913,61.85882187
9/9/2024,2024-09-09T07:00:00,182.7294312,65.74054718,55.70869064
9/9/2024,2024-09-09T08:00:00,182.8428802,77.26418304,52.67116928
9/9/2024,2024-09-09T09:00:00,183.0600586,58.86819458,50.77102661
9/9/2024,2024-09-09T10:00:00,183.7406158,77.50604248,49.4656601
9/9/2024,2024-09-09T11:00:00,183.3310547,65.9236145,53.10567093
9/9/2024,2024-09-09T12:00:00,183.947876,82.58929443,56.03485489
9/9/2024,2024-09-09T13:00:00,183.5591431,71.77156067,60.83756638
9/9/2024,2024-09-09T14:00:00,183.5871582,103.5968323,59.01716995
9/9/2024,2024-09-09T15:00:00,182.8062897,72.0616684,61.70073318
9/9/2024,2024-09-09T16:00:00,182.9314575,86.5532608,62.7277298
9/9/2024,2024-09-09T17:00:00,182.8173981,74.55376434,64.99742126
9/9/2024,2024-09-09T18:00:00,182.8886719,83.26773071,64.12771606
9/9/2024,2024-09-09T19:00:00,182.8032379,70.73220825,61.05220795
9/9/2024,2024-09-09T20:00:00,182.841507,80.90261841,60.72912979
9/9/2024,2024-09-09T21:00:00,182.7519226,71.53204346,61.59217834
9/9/2024,2024-09-09T22:00:00,182.8549957,83.09558105,59.72373962
